# This automated data download from the USGS sediment portal have not received director's approval and as such are provisional and are subject to revision. The data are released on the conditions that neither the USGS nor the United States Government may be held liable for any damages resulting from its use.
#
# Field name  Field description  Units  
# SITE_NO   USGS site identifier    
# STATION_NM   USGS site name    
# DATETIME   Date/time of sample collection    
# DCOMMENT   Quality control comment on the relation of SSC with daily flow    
# ICOMMENT   Quality control comment on the relation of SSC with instantaneous flow    
# SSC   Suspended-sediment concentration   milligrams per liter
"# DAILYFLOW   Discharge, mean daily   cubic feet per second"
"# INSTFLOW   Discharge, instantaneous   cubic feet per second"
# GH   Gage height   feet  
"# P2  Suspended sediment, diameter, percent smaller than 0.002 millimeters.   percent"
"# P4   Suspended sediment, diameter, percent smaller than 0.004 millimeters.   percent"
"# P8   Suspended sediment, diameter, percent smaller than 0.008 millimeters.   percent"
"# P16   Suspended sediment, diameter, percent smaller than 0.016 millimeters.   percent"
"# P31   Suspended sediment, diameter, percent smaller than 0.031 millimeters.   percent"
"# P63   Suspended sediment, diameter, percent smaller than 0.063 millimeters.   percent"
"# P125   Suspended sediment, diameter, percent smaller than 0.125 millimeters.   percent"
"# P250   Suspended sediment, diameter, percent smaller than 0.250 millimeters.   percent"
"# P500   Suspended sediment, diameter, percent smaller than 0.500 millimeters.   percent"
"# P1MILLI   Suspended sediment, diameter, percent smaller than 1.0 millimeters.   percent"
"# P2MILLI   Suspended sediment, diameter, percent smaller than 2.0 millimeters.   percent"
"# LOI   Loss on ignition of total solids, water, unfiltered   milligrams per liter"
"# TSS   Total solids dried at 105 degrees Celsius, water, unfiltered   milligrams per liter"
"# SS   Suspended solids, water, unfiltered   milligrams per liter"
# AGENCYCODE   Agency analyzing sample   NWIS code
# SAMPMETHOD   Sampling method   NWIS code
# SAMPLEPURPOSE   Sampling purpose   NWIS code
# SAMPTYPE   Sampler type   NWIS code
# NUMBERSAMPPTS   Number of Sampling points   NWIS code
# VISITPURPOSE   site visit purpose   NWIS code
# WIDTH   Stream width   feet
# VELOCITY   Stream velocity   feet per second
"# TURB70   Turbidity, water, unfiltered   Jackson Turbidity Units"
"# TURB76   Turbidity, water, unfiltered   nephelometric Turbidity Units"
"# TURB1350   Turbidity, severity   code"
"# TURB61028   Turbidity, water, unfiltered, field   nephelometric Turbidity Units"
"# TURB63675   Turbidity, water, unfiltered, broad band light source (400680 nm), detection angle 90 +/- 30 degrees to incident light   nephelometric Turbidity Units"
"# TURB63676  Turbidity, water, unfiltered, broad band light source (400-680 nm), detectors at multiple angles including 90 +/- 30 degrees, ratiometric correction   nephelometric Turbidity ratio Units"
"# TURB63680  Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +/- 2.5 degrees   formazin nephelometric Units"
"# TEMPC   Temperature, water   degrees Celsius"
"# TEMPAIRC   Temperature, air   degrees Celsius"
"# SC   Specific conductance, water, unfiltered, field   microsiemens per centimeter at 25 degrees Celsius"
"# SCLAB   Specific conductance, water, unfiltered, laboratory   microsiemens per centimeter at 25 degrees Celsius"
"# DSS   Dissolved solids drived at 105 degrees Celcius, water, filtered   milligrams per liter"
"# PH   pH, water, unfiltered, field   standard Units"
"# PHLAB   pH, water, unfiltered, laboratory   standard Units"
# ENDDATE   End date of sample (rarely present; only in the case of composite samples collected over time)   
# ENDTIME  End time of sample (rarely present; only in the case of composite samples collected over time)
#
#
SITE_NO,STATION_NM,DATETIME,DCOMMENT,ICOMMENT,SSC,DAILYFLOW,INSTFLOW,GH,P2,P4,P8,P16,P31,P63,P125,P250,P500,P1MILLI,P2MILLI,LOI,TSS,SS,AGENCYCODE,SAMPMETHOD,SAMPLEPURPOSE,SAMPTYPE,NUMBERSAMPPTS,WIDTH,VELOCITY,TURB70,TURB76,TURB61028,TURB63675,TURB63676,TURB63680,TEMPC,TEMPAIRC,SC,SCLAB,DSS,PH,PHLAB,END_DATE,END_TIME
03414500,"EAST FORK OBEY RIVER NEAR JAMESTOWN, TN",2003-10-01 13:20:00,G,G, 3,130,135, 1.95,,,,,,,,,,,,,,,1028,,,,,,,,,,,,,15.0,,189,,,,,,
03414500,"EAST FORK OBEY RIVER NEAR JAMESTOWN, TN",2003-12-09 14:00:00,G,G, 9,392,373,,,,,,,,,,,,,,,,1028,,,,,,,,,,,,, 9.0,,125,,,,,,
03414500,"EAST FORK OBEY RIVER NEAR JAMESTOWN, TN",2004-04-07 07:15:00,G,G, 10,284,301,,,,,,,,,,,,,,,,1028,,,,,,,,,,,,,10.0,,141,,,,,,
03414500,"EAST FORK OBEY RIVER NEAR JAMESTOWN, TN",2004-05-24 13:35:00,G,G, 2,91,86,,,,,,,,,,,,,,,,1028,,,,,,,,,,,,,21.5,,195,,,,,,
03414500,"EAST FORK OBEY RIVER NEAR JAMESTOWN, TN",2005-01-27 10:45:00,G,G, 6,225,215,,,,,,,,,,,,,,,,1028,,,,,,,,,,,,, 6.0,,162,,,,,,
03414500,"EAST FORK OBEY RIVER NEAR JAMESTOWN, TN",2005-04-19 11:20:00,G,G, 3,300,293,,,,,,,,,,,,,,,,1028,,,,,,,,,,,,,13.5,,145,,,,,,
03414500,"EAST FORK OBEY RIVER NEAR JAMESTOWN, TN",2005-06-09 10:00:00,G,G, 5,134,140,,,,,,,,,,,,,,,,1028,,,,,,,,,,,,,19.0,,199,,,,,,
03418040,SPRING CREEK NEAR DODSON CHAPEL,2007-02-22 12:30:00,S,S, 20,,,,,,,,,,,,,,,,,,,900,,,,,,,,,,,,,,,,,,,,
03418040,SPRING CREEK NEAR DODSON CHAPEL,2007-02-22 12:45:00,S,S, 19,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,
03418040,SPRING CREEK NEAR DODSON CHAPEL,2007-02-22 13:15:00,S,S, 18,,,,,,,,,,,,,,,,,,,900,,,,,,,,,,,,,,,,,,,,
03418040,SPRING CREEK NEAR DODSON CHAPEL,2007-03-01 14:51:00,S,S, 265,,,,,,,,,,,,,,,,,,,900,,,,,,,,,,,,,,,,,,,,
03418040,SPRING CREEK NEAR DODSON CHAPEL,2007-03-02 00:36:00,S,S, 334,,,,,,,,,,,,,,,,,,,900,,,,,,,,,,,,,,,,,,,,
03418040,SPRING CREEK NEAR DODSON CHAPEL,2007-04-04 10:26:00,S,S, 16,,,,,,,,,,,,,,,,,,,900,,,,,,,,,,,,,,,,,,,,
03418040,SPRING CREEK NEAR DODSON CHAPEL,2007-05-05 11:15:00,S,S, 17,,,,,,,,,,,,,,,,,,,900,,,,,,,,,,,,,,,,,,,,
03418040,SPRING CREEK NEAR DODSON CHAPEL,2007-05-22 19:00:00,S,S, 7,,,,,,,,,,,,,,,,,,,900,,,,,,,,,,,,,,,,,,,,
03418040,SPRING CREEK NEAR DODSON CHAPEL,2007-06-19 17:15:00,S,S, 55,,,,,,,,,,,,,,,,,,,900,,,,,,,,,,,,,,,,,,,,
03418040,SPRING CREEK NEAR DODSON CHAPEL,2007-08-29 04:15:00,S,S, 76,,,,,,,,,,,,,,,,,,,900,,,,,,,,,,,,,,,,,,,,
03418040,SPRING CREEK NEAR DODSON CHAPEL,2007-11-14 21:11:00,S,S, 34,,,,,,,,,,,,,,,,,,,900,,,,,,,,,,,,,,,,,,,,
03418040,SPRING CREEK NEAR DODSON CHAPEL,2007-12-05 12:13:00,S,S, 74,,,,,,,,,,,,,,,,,,,900,,,,,,,,,,,,,,,,,,,,
03418040,SPRING CREEK NEAR DODSON CHAPEL,2008-01-30 15:00:00,S,S, 268,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,
03418040,SPRING CREEK NEAR DODSON CHAPEL,2008-02-06 04:45:00,S,S, 422,,,,,,,,,,,,,,,,,,,900,,,,,,,,,,,,,,,,,,,,
